date,new_cases,cum_cases
2016-07-19,1,1
2016-07-20,0,1
2016-07-21,1,2
2016-07-22,0,2
2016-07-23,0,2
2016-07-24,0,2
2016-07-25,0,2
2016-07-26,0,2
2016-07-27,0,2
2016-07-28,0,2
2016-07-29,2,4
2016-07-30,0,4
2016-07-31,0,4
2016-08-01,0,4
2016-08-02,11,15
2016-08-03,0,15
2016-08-04,0,15
2016-08-05,0,15
2016-08-06,0,15
2016-08-07,0,15
2016-08-08,2,17
2016-08-09,4,21
2016-08-10,1,22
2016-08-11,3,25
2016-08-12,3,28
2016-08-13,0,28
2016-08-14,0,28
2016-08-15,2,30
2016-08-16,0,30
2016-08-17,3,33
2016-08-18,2,35
2016-08-19,1,36
2016-08-20,0,36
2016-08-21,0,36
2016-08-22,1,37
2016-08-23,4,41
2016-08-24,2,43
2016-08-25,0,43
2016-08-26,0,43
2016-08-27,0,43
2016-08-28,0,43
2016-08-29,0,43
2016-08-30,3,46
2016-08-31,1,47
2016-09-01,2,49
2016-09-02,0,49
2016-09-03,0,49
2016-09-04,0,49
2016-09-05,0,49
2016-09-06,7,56
2016-09-07,0,56
2016-09-08,0,56
2016-09-09,0,56
2016-09-10,0,56
2016-09-11,0,56
2016-09-12,8,64
2016-09-13,6,70
2016-09-14,10,80
2016-09-15,7,87
2016-09-16,2,89
2016-09-17,0,89
2016-09-18,0,89
2016-09-19,6,95
2016-09-20,4,99
2016-09-21,1,100
2016-09-22,2,102
2016-09-23,3,105
2016-09-24,0,105
2016-09-25,0,105
2016-09-26,10,115
2016-09-27,5,120
2016-09-28,8,128
2016-09-29,6,134
2016-09-30,5,139
2016-10-01,0,139
2016-10-02,0,139
2016-10-03,10,149
2016-10-04,5,154
2016-10-05,4,158
2016-10-06,1,159
2016-10-07,0,159
2016-10-10,6,165
